1,100021237RR0001,www.academielafontaine.qc.ca,Valid,,,,,
2,100072586RR0001,WWW.AKFC.CA,Valid,,,,,
3,100096585RR0001,WWW.SAINTJOHNARTSCENTRE.COM,Valid,,,,,
4,100148196RR0001,WWW.AFWPG.CA,Valid,,,,,
5,100192012RR0001,www.ileauxnoix.com/fr/tourisme/amis-lennox.html,Valid,,,,,
6,100220417RR0001,WWW.IRCPA.NET,Valid,https://www.facebook.com/pages/International-Resource-Centre-for-Performing-Artists-IRCPA/114128938656497,,,,
7,100295138RR0001,WWW.ACLDECHATEAUGUAY.ORG,Valid,,,,,
8,100296318RR0001,WWW.ALPHA-MONTREAL.CA,Invalid,,,,,
9,100296490RR0001,WWW.ACTEESTRIE.COM,Valid,,,,,
10,100301290RR0001,WWW.AOJM.ORG,Valid,http://www.facebook.com/pages/AOJM-Association-des-orchestres-de-jeunes-de-la-Mont%C3%A9r%C3%A9gie/349656105067547?sk=wall,,,,
11,100301464RR0001,AVENTURIERSDEBADENPOWELL.ORG,Valid,,,,,
12,100301878RR0001,APHJM.ORG,Valid,https://www.facebook.com/AssociationDesPersonnesHandicapeesMatawinie?fref=ts,,,,
13,100303387RR0001,WWW.ARAMONTREAL.ORG,Valid,,,,,
14,100303817RR0001,WWW.DIABETELAVAL.QC.CA,Valid,https://www.facebook.com/diabetelaval,,,,
15,100304005RR0001,WWW.AQEPA.ORG,Valid,https://www.facebook.com/AQEPA,,,,
16,100304344RR0001,WWW.AHCQ.ORG,Invalid,,,,,
17,100305275RR0001,WWW.AISQ.ORG,Valid,https://www.facebook.com/pages/Association-pour-lint%C3%A9gration-sociale-R%C3%A9gion-de-Qu%C3%A9bec/130245417045643,,,,
18,100305473RR0001,WWW.MUSEEMAB.COM,Valid,,,,,
19,100305507RR0001,WWW.AQLPH.QC.CA,Valid,,,,,
20,100305663RR0001,WWW.AQPV.CA,Valid,,,,,
21,100306174RR0001,WWW.MSSOCIETY.CA/QC/,Invalid,,,,,
22,100306182RR0001,WWW.SCLEROSEENPLAQUES.CA/QC,Invalid,,,,,
23,100307016RR0001,WWW.ULSAT.QC.CA,Invalid,,,,,
24,100316132RR0001,WWW.ATELIER.QC.CA,Valid,http://www.facebook.com/Atelierdelile,,,,
25,100318195RR0001,WWW.ATELIERINDUSTRIEL.ORG,Valid,,,,,
26,100319797RR0001,ATELIERSTAQ.COM,Valid,,,,,
27,100356047RR0001,WWW.AUPARVI.QC.CA,Invalid,,,,,
28,100384734RR0001,WWW.BALLETOUEST.COM,Valid,http://www.facebook.com/business/dashboard/,,,,
29,100405299RR0001,WWW.SOMERSETACADEMY.CA,Valid,,,,,
30,100462118RR0001,WWW.BCCNS.CA,Valid,,,,,
31,100504687RR0001,WWW.IMPERIALTHEATRE.NB.CA,Valid,http://www.facebook.com/imperialtheatre,,http://www.twitter.com/imperialtheatre,http://www.youtube.com/imperialtheatre,
32,100718212RR0001,CAFEDESDEUXPAINS.ORG,Valid,,,,,
33,100731660RR0001,WWW.CENTREFORNEWCOMERS.CA,Valid,,,,,
34,100749498RR0001,www.campdesiles.org,Valid,,,,,
